0.12:0.65:0.79;0.35:0.89:0.46;0.57:0.12:0.68;0.79:0.35:0.90
0.23:0.77:0.89;0.46:0.90:0.57;0.68:0.23:0.79;0.89:0.46:0.01
0.35:0.88:0.90;0.57:0.01:0.68;0.79:0.35:0.89;0.90:0.57:0.12
0.43:0.79:0.01;0.68:0.12:0.79;0.89:0.46:0.90;0.01:0.68:0.23
0.57:0.10:0.12;0.79:0.23:0.89;0.90:0.57:0.01;0.12:0.79:0.35
0.68:0.11:0.23;0.89:0.35:0.90;0.01:0.68:0.12;0.23:0.89:0.46
0.79:0.21:0.35;0.90:0.46:0.01;0.12:0.79:0.23;0.35:0.90:0.57
0.89:0.32:0.46;0.01:0.57:0.12;0.23:0.89:0.35;0.46:0.01:0.68
0.90:0.43:0.57;0.12:0.68:0.23;0.35:0.90:0.46;0.57:0.12:0.79
0.01:0.54:0.68;0.23:0.79:0.35;0.46:0.01:0.57;0.68:0.23:0.89
0.13:0.65:0.80;0.35:0.80:0.47;0.58:0.13:0.69;0.80:0.35:0.91
0.24:0.76:0.80;0.47:0.91:0.58;0.69:0.25:0.80;0.90:0.47:0.02
0.35:0.87:0.91;0.58:0.02:0.69;0.80:0.36:0.90;0.91:0.58:0.13
0.46:0.98:0.02;0.69:0.13:0.80;0.90:0.57:0.01;0.02:0.69:0.65
0.57:0.09:0.13;0.80:0.25:0.90;0.01:0.68:0.13;0.13:0.80:0.36
0.69:0.19:0.25;0.90:0.36:0.01;0.12:0.79:0.25;0.25:0.90:0.47
0.80:0.30:0.36;0.01:0.47:0.12;0.25:0.89:0.36;0.36:0.01:0.58
0.90:0.41:0.47;0.12:0.58:0.25;0.36:0.90:0.47;0.47:0.12:0.69
0.01:0.52:0.58;0.25:0.69:0.36;0.47:0.01:0.58;0.58:0.25:0.79
0.12:0.63:0.69;0.36:0.79:0.47;0.58:0.12:0.69;0.69:0.36:0.90
0.23:0.74:0.80;0.47:0.80:0.48;0.58:0.23:0.70;0.80:0.47:0.91
0.34:0.85:0.80;0.48:0.91:0.59;0.69:0.34:0.80;0.91:0.48:0.03
0.45:0.96:0.91;0.59:0.03:0.69;0.80:0.45:0.91;0.03:0.59:0.15
0.56:0.07:0.03;0.69:0.15:0.80;0.91:0.68:0.03;0.15:0.69:0.26
0.68:0.19:0.15;0.80:0.26:0.91;0.03:0.79:0.15;0.26:0.80:0.37
0.79:0.30:0.26;0.91:0.37:0.03;0.15:0.89:0.26;0.37:0.91:0.48
0.90:0.41:0.37;0.03:0.48:0.15;0.26:0.90:0.37;0.48:0.03:0.59
0.91:0.52:0.48;0.15:0.59:0.26;0.37:0.01:0.48;0.59:0.15:0.69
0.02:0.63:0.59;0.26:0.69:0.37;0.48:0.12:0.59;0.69:0.26:0.80
0.13:0.74:0.69;0.37:0.80:0.48;0.59:0.23:0.69;0.80:0.37:0.91
0.25:0.85:0.80;0.48:0.01:0.59;0.69:0.35:0.80;0.01:0.48:0.02
0.36:0.96:0.01;0.59:0.12:0.69;0.80:0.46:0.01;0.12:0.59:0.13
0.47:0.07:0.12;0.69:0.23:0.80;0.01:0.57:0.12;0.23:0.69:0.25
0.58:0.19:0.23;0.80:0.35:0.01;0.12:0.68:0.23;0.35:0.80:0.36
0.69:0.30:0.35;0.01:0.46:0.12;0.23:0.79:0.35;0.46:0.01:0.47
0.80:0.41:0.46;0.12:0.57:0.23;0.35:0.89:0.46;0.57:0.12:0.58
0.89:0.52:0.57;0.23:0.68:0.35;0.46:0.90:0.57;0.68:0.23:0.69
0.90:0.63:0.68;0.35:0.79:0.46;0.57:0.01:0.68;0.79:0.35:0.79
0.01:0.74:0.79;0.46:0.89:0.57;0.68:0.12:0.79;0.89:0.46:0.80
0.12:0.85:0.89;0.57:0.90:0.68;0.79:0.23:0.89;0.90:0.57:0.91
0.23:0.96:0.90;0.68:0.01:0.79;0.89:0.35:0.90;0.01:0.68:0.02
0.35:0.07:0.01;0.79:0.12:0.89;0.90:0.46:0.01;0.12:0.79:0.13
0.46:0.19:0.12;0.89:0.23:0.90;0.01:0.57:0.12;0.23:0.89:0.25
0.57:0.30:0.23;0.90:0.35:0.01;0.12:0.68:0.23;0.35:0.90:0.36
0.68:0.41:0.35;0.01:0.46:0.12;0.23:0.79:0.35;0.46:0.01:0.47
0.79:0.52:0.46;0.12:0.57:0.23;0.35:0.89:0.46;0.57:0.12:0.58
0.89:0.63:0.57;0.23:0.68:0.35;0.46:0.90:0.57;0.68:0.23:0.69
0.90:0.74:0.68;0.35:0.79:0.46;0.57:0.01:0.68;0.79:0.35:0.79
0.01:0.85:0.79;0.46:0.89:0.57;0.68:0.12:0.79;0.89:0.46:0.80
0.33:0.17:0.51;0.58:0.04:0.69;0.80:0.36:0.90;0.91:0.78:0.53
